name	TF
ZNF564	yes
ZNF565	yes
ZNF566	yes
ZNF567	yes
ZNF568	yes
ZNF569	yes
ZNF57	yes
ZNF570	yes
ZNF571	yes
ZNF572	yes
ZNF573	yes
ZNF574	yes
ZNF575	yes
ZNF576	yes
ZNF577	yes
ZNF578	yes
ZNF579	yes
ZNF580	yes
ZNF581	yes
ZNF582	yes
ZNF583	yes
ZNF584	yes
ZNF585A	yes
ZNF585B	yes
ZNF586	yes
ZNF587	yes
ZNF587B	yes
ZNF589	yes
ZNF592	yes
ZNF594	yes
ZNF595	yes
ZNF596	yes
ZNF597	yes
ZNF598	yes
ZNF599	yes
ZNF600	yes
ZNF605	yes
ZNF606	yes
ZNF607	yes
ZNF608	yes
ZNF609	yes
ZNF610	yes
ZNF611	yes
ZNF613	yes
ZNF614	yes
ZNF615	yes
ZNF616	yes
ZNF618	yes
ZNF619	yes
ZNF620	yes
ZNF621	yes
ZNF623	yes
ZNF624	yes
ZNF625	yes
ZNF626	yes
ZNF627	yes
ZNF628	yes
ZNF629	yes
ZNF630	yes
ZNF639	yes
ZNF641	yes
ZNF644	yes
ZNF645	yes
ZNF646	yes
ZNF648	yes
ZNF649	yes
ZNF652	yes
ZNF654	yes
ZNF655	yes
ZNF658	yes
ZNF66	yes
ZNF660	yes
ZNF662	yes
ZNF664	yes
ZNF665	yes
ZNF667	yes
ZNF668	yes
ZNF669	yes
ZNF670	yes
ZNF671	yes
ZNF672	yes
ZNF674	yes
ZNF675	yes
ZNF676	yes
ZNF677	yes
ZNF678	yes
ZNF679	yes
ZNF680	yes
ZNF681	yes
ZNF682	yes
ZNF683	yes
ZNF684	yes
ZNF687	yes
ZNF688	yes
ZNF689	yes
ZNF69	yes
ZNF691	yes
ZNF692	yes
ZNF695	yes
ZNF696	yes
ZNF697	yes
ZNF699	yes
ZNF7	yes
ZNF70	yes
ZNF700	yes
ZNF701	yes
ZNF703	yes
ZNF704	yes
ZNF705A	yes
ZNF705B	yes
ZNF705D	yes
ZNF705E	yes
ZNF705G	yes
ZNF706	yes
ZNF707	yes
ZNF708	yes
ZNF709	yes
ZNF71	yes
ZNF710	yes
ZNF711	yes
ZNF713	yes
ZNF714	yes
ZNF716	yes
ZNF717	yes
ZNF718	yes
ZNF721	yes
ZNF724	yes
ZNF726	yes
ZNF727	yes
ZNF728	yes
ZNF729	yes
ZNF730	yes
ZNF732	yes
ZNF735	yes
ZNF736	yes
ZNF737	yes
ZNF74	yes
ZNF740	yes
ZNF746	yes
ZNF747	yes
ZNF749	yes
ZNF750	yes
ZNF75A	yes
ZNF75D	yes
ZNF76	yes
ZNF761	yes
ZNF763	yes
ZNF764	yes
ZNF765	yes
ZNF766	yes
ZNF768	yes
ZNF77	yes
ZNF770	yes
ZNF771	yes
ZNF772	yes
ZNF773	yes
ZNF774	yes
ZNF775	yes
ZNF776	yes
ZNF777	yes
ZNF778	yes
ZNF780A	yes
ZNF780B	yes
ZNF781	yes
ZNF782	yes
ZNF783	yes
ZNF784	yes
ZNF785	yes
ZNF786	yes
ZNF787	yes
ZNF788	yes
ZNF789	yes
ZNF79	yes
ZNF790	yes
ZNF791	yes
ZNF792	yes
ZNF793	yes
ZNF799	yes
ZNF8	yes
ZNF80	yes
ZNF800	yes
ZNF804A	yes
ZNF804B	yes
ZNF805	yes
ZNF808	yes
ZNF81	yes
ZNF813	yes
ZNF814	yes
ZNF816	yes
ZNF821	yes
ZNF823	yes
ZNF827	yes
ZNF829	yes
ZNF83	yes
ZNF830	yes
ZNF831	yes
ZNF835	yes
ZNF836	yes
ZNF837	yes
ZNF84	yes
ZNF841	yes
ZNF843	yes
ZNF844	yes
ZNF845	yes
ZNF846	yes
ZNF85	yes
ZNF850	yes
ZNF852	yes
ZNF853	yes
ZNF860	yes
ZNF865	yes
ZNF878	yes
ZNF879	yes
ZNF880	yes
ZNF883	yes
ZNF888	yes
ZNF891	yes
ZNF90	yes
ZNF91	yes
ZNF92	yes
ZNF93	yes
ZNF98	yes
ZNF99	yes
ZSCAN1	yes
ZSCAN10	yes
ZSCAN12	yes
ZSCAN16	yes
ZSCAN18	yes
ZSCAN2	yes
ZSCAN20	yes
ZSCAN21	yes
ZSCAN22	yes
ZSCAN23	yes
ZSCAN25	yes
ZSCAN26	yes
ZSCAN29	yes
ZSCAN30	yes
ZSCAN31	yes
ZSCAN32	yes
ZSCAN4	yes
ZSCAN5A	yes
ZSCAN5B	yes
ZSCAN5C	yes
ZSCAN9	yes
ZUFSP	yes
ZXDA	yes
ZXDB	yes
ZXDC	yes
PATZ1	yes
ZBTB24	yes
ZNF524	yes
ZNF653	yes
ZNF277	yes
ZNF512	yes
ZEB1	yes
ZEB2	yes
ZFHX3	yes
ZFHX4	yes
TRERF1	yes
ZNF541	yes
NFYA	yes
MBNL2	yes
ZC3H8	yes
ZGPAT	yes
CENPB	yes
CENPBD1	yes
JRK	yes
JRKL	yes
TIGD1	yes
TIGD2	yes
TIGD3	yes
TIGD4	yes
TIGD5	yes
TIGD6	yes
TIGD7	yes
CAMTA1	yes
CAMTA2	yes
LIN28A	yes
LIN28B	yes
YBX1	yes
YBX2	yes
YBX3	yes
RBPJ	yes
RBPJL	yes
CUX1	yes
CUX2	yes
ONECUT1	yes
ONECUT2	yes
ONECUT3	yes
SATB1	yes
SATB2	yes
CXXC1	yes
CXXC4	yes
CXXC5	yes
DNMT1	yes
FBXL19	yes
KDM2A	yes
KDM2B	yes
TET1	yes
TET3	yes
KMT2A	yes
KMT2B	yes
DMRT1	yes
DMRT2	yes
DMRT3	yes
DMRTA1	yes
DMRTA2	yes
DMRTB1	yes
DMRTC2	yes
E2F1	yes
E2F2	yes
E2F3	yes
E2F4	yes
E2F5	yes
E2F6	yes
E2F7	yes
E2F8	yes
TFDP1	yes
