SYMBOL	interaction	target	Neighbourhood
LAP3	pp	C1	Cytosol
LCMT2	pp	C1	Cytosol
LIMK1	pp	C1	Cytosol
LINGO1	pp	C1	Cytosol
LSM1	pp	C1	Cytosol
LTF	pp	C1	Cytosol
LTV1	pp	C1	Cytosol
LYPLA1	pp	C1	Cytosol
LYPLAL1	pp	C1	Cytosol
MAGED1	pp	C1	Cytosol
MAGED2	pp	C1	Cytosol
MAGEE1	pp	C1	Cytosol
MAP2K4	pp	C1	Cytosol
MAP2K5	pp	C1	Cytosol
MAP2K6	pp	C1	Cytosol
MAP3K5	pp	C1	Cytosol
MAP3K6	pp	C1	Cytosol
MAP3K8	pp	C1	Cytosol
MAP4K2	pp	C1	Cytosol
MAPKAP1	pp	C1	Cytosol
MAST2	pp	C1	Cytosol
MAST3	pp	C1	Cytosol
MBNL3	pp	C1	Cytosol
MELK	pp	C1	Cytosol
METAP2	pp	C1	Cytosol
METTL10	pp	C1	Cytosol
METTL21A	pp	C1	Cytosol
MMS19	pp	C1	Cytosol
MON1A	pp	C1	Cytosol
MON2	pp	C1	Cytosol
MTM1	pp	C1	Cytosol
MTMR14	pp	C1	Cytosol
MTMR3	pp	C1	Cytosol
MTMR6	pp	C1	Cytosol
MTMR7	pp	C1	Cytosol
MTMR8	pp	C1	Cytosol
MTMR9	pp	C1	Cytosol
MTSS1L	pp	C1	Cytosol
MYCN	pp	C1	Cytosol
MYD88	pp	C1	Cytosol
MYO9A	pp	C1	Cytosol
MYT1	pp	C1	Cytosol
MZT1	pp	C1	Cytosol
MZT2B	pp	C1	Cytosol
N4BP2	pp	C1	Cytosol
NAPB	pp	C1	Cytosol
NCAPG	pp	C1	Cytosol
NCKIPSD	pp	C1	Cytosol
NEDD4	pp	C1	Cytosol
NEDD9	pp	C1	Cytosol
NEK1	pp	C1	Cytosol
NEK3	pp	C1	Cytosol
NEK4	pp	C1	Cytosol
NEMF	pp	C1	Cytosol
NKIRAS1	pp	C1	Cytosol
NPHP3	pp	C1	Cytosol
NPL	pp	C1	Cytosol
NRBP2	pp	C1	Cytosol
OBSCN	pp	C1	Cytosol
OSBP	pp	C1	Cytosol
OSBPL1A	pp	C1	Cytosol
PACS2	pp	C1	Cytosol
PAIP2	pp	C1	Cytosol
PAIP2B	pp	C1	Cytosol
PARPBP	pp	C1	Cytosol
PARVB	pp	C1	Cytosol
PATL1	pp	C1	Cytosol
PDCD10	pp	C1	Cytosol
PDCL3	pp	C1	Cytosol
PDE2A	pp	C1	Cytosol
PDE7A	pp	C1	Cytosol
PEG10	pp	C1	Cytosol
PEX5	pp	C1	Cytosol
PHKA1	pp	C1	Cytosol
PHKA2	pp	C1	Cytosol
PHKB	pp	C1	Cytosol
PHKG2	pp	C1	Cytosol
